MON,CSE-35,---,X,A-LH-104,CC|SPM,ML,A-DL-101,AD,A-DL-101,AD(L),AD(L)
TUE,CSE-35,A-LH-010,X,A-LH-010,CC|SPM,AI,---,X,---,X,X
WED,CSE-35,---,X,A-LH-005,X,CC|SPM,A-LH-004,ML,A-LH-004,UHV,X
THU,CSE-35,---,X,A-LH-010,ML,UHV,B-404,AI,---,X,X
FRI,CSE-35,A-LH-010,ML,A-DL-108,AI(L),AI(L),B-406,UHV,B-406,AI,X
SAT,CSE-35,---,X,---,X,X,---,X,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-36,---,X,---,X,X,---,X,---,X,X
TUE,CSE-36,---,X,A-LH-104,X,UHV,A-DL-108,AD,A-DL-108,AD(L),AD(L)
WED,CSE-36,---,X,---,X,X,A-LH-005,AI,A-LH-005,CC|SPM,ML
THU,CSE-36,---,X,A-LH-104,X,UHV,B-405,ML,B-405,CC|SPM,AI
FRI,CSE-36,---,X,A-LH-104,X,AI,A-LH-003,UHV,A-LH-003,ML,CC|SPM
SAT,CSE-36,A-LH-104,ML,A-DL-101,AI(L),AI(L),---,X,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-37,B-303,ML,A-DL-108,AI(L),AI(L),A-LH-004,AI,A-LH-004,X,X
TUE,CSE-37,---,X,---,X,X,---,X,---,X,X
WED,CSE-37,---,X,A-LH-010,X,UHV,A-DL-108,AD,A-DL-108,AD(L),AD(L)
THU,CSE-37,A-LH-105,AI,A-LH-105,ML,CC|SPM,B-406,UHV,B-406,X,X
FRI,CSE-37,A-LH-105,CC|SPM,A-LH-105,UHV,ML,---,X,---,X,X
SAT,CSE-37,---,X,A-LH-003,X,AI,B-304,CC|SPM,B-304,ML,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-38,---,X,A-LH-105,ML,AI,A-LH-005,UHV,A-LH-005,CC|SPM,X
TUE,CSE-38,A-LH-104,ML,A-DL-101,AI(L),AI(L),---,X,---,X,X
WED,CSE-38,---,X,---,X,X,---,X,---,X,X
THU,CSE-38,A-LH-107,X,A-LH-107,AI,UHV,A-DL-106,AD,A-DL-106,AD(L),AD(L)
FRI,CSE-38,A-LH-107,CC|SPM,A-LH-107,ML,AI,A-LH-004,UHV,A-LH-004,X,X
SAT,CSE-38,---,X,---,X,X,A-LH-107,ML,A-LH-107,CC|SPM,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-39,---,X,A-LH-107,UHV,X,---,X,---,X,X
TUE,CSE-39,A-LH-105,AI,A-LH-105,ML,CC|SPM,A-LH-004,UHV,A-LH-004,X,X
